Sequence,Position,SendDay,Subject,PreviewText,CTA,Body
Newcomer Track,1,1,One truth I want you to hold onto,It has nothing to do with technology. It has to do with you.,"Visit https://pamperedcompanioncare.org/mighty-elders — ""Start with the free AI in Plain English intro lesson""","{{ subscriber.first_name | default: ""friend"" }},

Yesterday you took the Mighty Elders quiz. That took something — maybe just curiosity, maybe more than that. Either way, I'm glad you did it.

Your score put you at the starting line. I want to tell you something about that, because I think most people get it wrong.

There is a story being told about people your age and technology. The story goes: it's too late, it's too complicated, it's for young people, and you should probably just leave it alone. That story is a lie, and the people telling it — whether they mean to or not — are doing you a disservice.

Here is the one truth I want you to hold onto as we go through these next few weeks together:

You have spent decades solving hard problems. You have navigated medical crises, raised families, run businesses, buried loved ones, and kept going. You have learned harder things than software. The only difference is that nobody handed you a starting line for AI — until now.

I spend my life working with seniors in Dayton and across the country. I hear the same thing constantly: ""I'm just not a tech person."" I say the same thing back every time: that is not a fact about you. That is a story you picked up somewhere. And we are going to put it down.

This sequence of emails is going to be short, practical, and specific. I am not going to talk over your head. I am not going to assume you know things you don't. And I am never going to rush you.

Here is what I want you to do right now — before you even close this email.

Go to the free intro lesson we put together. It's called ""AI in Plain English"" and it is exactly that: plain English. No jargon. No assumed knowledge. Just a clear explanation of what AI actually is, why it matters, and one simple thing you can do today.

Start here: https://pamperedcompanioncare.org/mighty-elders

That's the only ask. One page. Five minutes.

If you have questions, hit reply. This goes directly to me.

Acie Grimes
Mighty Elders
(326) 467-3161

P.S. If someone in your family suggested you take this quiz, I want to say: they love you. And they were right to send you here."
Newcomer Track,2,3,Your first AI win — 5 minutes flat,I'm going to walk you through it step by step. No shortcuts.,Go to https://chat.openai.com and try the thank-you note exercise,"{{ subscriber.first_name | default: ""friend"" }},

Let's do something today.

I don't mean ""think about something"" or ""look something up."" I mean let's actually do it — right now, together — so that by the time you finish reading this email, you will have used AI for the first time. Or for the second time. Or for the first time that actually worked.

Here is what we are going to do: we are going to ask an AI to write a thank-you note.

Why a thank-you note? Because it is genuinely useful, it requires no personal information from you, and once you see it work, something shifts. I have watched it happen with hundreds of people. That little moment where the AI writes a paragraph and you think, ""That's actually pretty good"" — that is the moment fear starts to lose its grip.

Here are the steps. Follow them exactly.

**Step 1.** Open a browser on your phone, tablet, or computer and go to: https://chat.openai.com

**Step 2.** You will see a text box that says something like ""Message ChatGPT."" Click inside it.

**Step 3.** Type exactly this (or something close to it):

""Write a short, warm thank-you note to my neighbor who brought me soup when I was sick last week. Her name is Margaret. Keep it friendly and genuine, not too formal.""

**Step 4.** Press Enter or click the arrow button.

**Step 5.** Read what it writes.

That's it. That is artificial intelligence working for you. You just used it.

Now, here is something important: you can talk back to it. If the note is too formal, type ""Make it a little more casual."" If it's too short, type ""Add one more sentence."" The AI does not get tired, impatient, or offended. It just keeps trying.

This is what I mean when I say AI is a tool that works for you. You are the one in charge. You decide what you want. It does the writing. You review it and say yes or no.

One more thing. You do not need to create an account to try this. ChatGPT lets you use it without signing up. If it asks you to log in, just click ""Continue without an account"" or ""Stay logged out.""

Try it right now and then hit reply to let me know how it went. I read every response.

Acie"
Newcomer Track,3,6,Two scams you need to know this week,This is not a scare tactic. This is a briefing.,Reply to this email if you've received a suspicious message and want Acie's read on it — acie@pamperedcompanioncare.org,"{{ subscriber.first_name | default: ""friend"" }},

I have to talk to you about something that isn't fun. But it is important, and I would rather you hear it from me than find out the hard way.

Americans 60 and older lost $7.7 billion to fraud last year — up 37 percent from the year before. The average victim lost more than $38,000. These are not naive people. These are people exactly like you, who spent a lifetime being careful with their money, caught off guard by scams specifically designed to overwhelm judgment. ([FBI Internet Crime Complaint Center 2025 Annual Report](https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf))

The reason this is getting worse is AI. AI makes scams faster, cheaper, and more convincing. A fraudster who used to spend an hour crafting a convincing email can now generate a hundred of them in a minute. A scammer who could only fake a written message can now fake a voice — your grandchild's voice, calling to say they're in trouble.

Here are the two you need to recognize right now.

**Scam 1: The Grandchild Emergency**

You get a call from someone who sounds like your grandson or granddaughter. They say they've been in an accident, or arrested, or they're stuck abroad. They're crying. They need money immediately and beg you not to tell their parents. A ""lawyer"" or ""officer"" gets on the phone to explain what to do.

The voice is fake. AI can clone a voice from a few seconds of audio found on social media.

What to do: hang up. Then call the grandchild directly on the number you already have. That's it. Do not call back on the number they gave you. Hang up and call the real number.

**Scam 2: The IRS / Social Security Alert**

You get a call, a text, or an email saying your Social Security number has been suspended, or that you owe the IRS money and must pay immediately to avoid arrest. The message is urgent and threatening.

The IRS does not call you. The Social Security Administration does not suspend numbers. These agencies communicate by mail first. Any call demanding immediate payment is a scam. Every single time.

What to do: hang up. If you're genuinely worried, call Social Security directly at 1-800-772-1213.

I'm going to go deeper on AI-powered scams in a few weeks. For now, I just want these two patterns in your head.

If something ever feels off — a call, a message, a strange email — you can always forward it to me at acie@pamperedcompanioncare.org. I will tell you what I think.

Acie

P.S. If you have an adult child or grandchild who would benefit from knowing this, forward this email to them. They need to know it too."
Newcomer Track,4,10,The one phrase that makes AI work for you,Most people quit before they discover this. You won't.,Try the prompting exercise at https://chat.openai.com,"{{ subscriber.first_name | default: ""friend"" }},

By now you have either tried AI once, or you have it sitting on the back burner. Either is fine. I just want to give you the one thing that changes everything.

Most people who try AI and give up do so because the first answer was not quite right, and they didn't know how to fix it. They typed a question, got a mediocre answer, and thought: ""See, it doesn't really work.""

But here is what they didn't know: you can tell it exactly what's wrong.

The phrase that makes AI work for you is this:

**""That's not quite what I meant. What I actually want is ___.""**

That's it. That is prompting. That is the whole skill.

Think of talking to AI the way you would talk to a very capable but slightly literal assistant who has never met you before. The first time you explain something, they do their best. But they don't know your history, your preferences, or your tone. So you give them a little more.

Let me show you a few examples.

You type: ""Help me write a letter to my doctor about my knee pain.""
The AI writes something formal and clinical.
You say: ""Make it more conversational. I want to sound like myself, not like a form letter.""
The AI rewrites it in a warmer voice.

You type: ""Explain what Medicare Advantage means.""
The AI gives a five-paragraph answer with terms you don't know.
You say: ""Explain it like I'm hearing about Medicare for the first time.""
The AI simplifies it.

You are always in charge. You are never stuck with the first answer. You can keep pushing, keep adjusting, keep asking, and the AI will keep trying.

Here is a short exercise to try today:

1. Go to https://chat.openai.com
2. Ask it something you actually want to know — a health question, a recipe, how to handle a situation with a family member, anything
3. If the first answer isn't quite right, use the phrase: ""That's not quite what I meant — what I actually need is ___.""
4. See what happens

You are going to surprise yourself.

Acie"
Newcomer Track,5,14,"Where you go from here, {{ subscriber.first_name | default: ""friend"" }}",Two weeks ago you were at the starting line. Look where you are now.,Continue to the Curious Learner track — https://pamperedcompanioncare.org/mighty-elders,"{{ subscriber.first_name | default: ""friend"" }},

Two weeks ago you took the quiz and landed at the starting line. I want to take a minute to recognize that.

You didn't have to do any of this. You didn't have to open these emails, try the exercises, or think about any of it. But you did. And that matters more than the score on any quiz.

Here is what I know about you now that I didn't know two weeks ago: you are someone who shows up. That is not a small thing. Most people are still standing outside the door wondering if they should knock.

You knocked.

So what happens next?

The next step in the Mighty Elders path is the **Curious Learner track** — and I am going to invite you into it right now. It picks up exactly where you are. It covers three practical AI skills that pay off fast: using AI to research a medication, using AI to write a hard email, and understanding how scammers are using AI so you can outsmart them.

You can start here: https://pamperedcompanioncare.org/mighty-elders

There is one more thing I want to ask.

Think of one person in your life — a friend, a sibling, a neighbor — who is exactly where you were two weeks ago. A little curious, a little nervous, maybe a little resistant. Someone who might roll their eyes at first but who would benefit from knowing what you know now.

Send them the quiz: https://pamperedcompanioncare.org/mighty-elders#quiz

That is not a small ask. I know it isn't. But the only way the people around us don't get left behind is if someone who cares about them brings them in. You could be that person for someone.

And if you have an adult child or family member who would like to understand what you're learning — and how they can support you without hovering — send them here: https://pamperedcompanioncare.org/mighty-elders/for-families

They thought you were done. They were wrong.

With a lot of respect,
Acie Grimes
Mighty Elders"
Curious Learner Track,1,1,Three AI skills that pay off the fastest,You already have enough to start. Let's figure out what to do with it.,Explore the AI Confidence Track — https://pamperedcompanioncare.org/mighty-elders,"{{ subscriber.first_name | default: ""friend"" }},

Your quiz score put you in the Curious Learner tier. That means you have already been around AI enough to know it's real — and you know enough to be cautious. That caution is not a weakness. It is actually the right starting point.

But here is the thing about caution: it can tip into hesitation, and hesitation can tip into staying stuck. I see it happen all the time with people who are plenty sharp enough to do this work. They know too much to dismiss it, but not quite enough yet to feel confident. So they wait.

We are not going to wait.

Over the next two weeks, I am going to walk you through three AI skills that pay off faster than anything else. Not six. Not a course. Three skills. And once you have them, you will use them every week for the rest of your life.

Here is the preview:

**Skill 1: AI as your research assistant.** You can ask AI to explain a medication, summarize a product review, break down a medical diagnosis, or help you understand a legal document — in plain English, in under two minutes. This one alone will change how you handle doctor's appointments.

**Skill 2: AI as your writing partner.** You have a hard email to send. Maybe to a doctor who isn't listening. Maybe to an insurance company that keeps denying a claim. Maybe to a family member where the words just won't come. AI will help you find them.

**Skill 3: Knowing what AI can fake — so you know when you're being fooled.** This is the defensive skill. Scammers are using the same tools. If you know how they use it, you are automatically harder to fool.

That's the map. We start tomorrow with Skill 1.

For now, one thing I want you to do: go back to the Mighty Elders page and look at what's available for where you are right now: https://pamperedcompanioncare.org/mighty-elders

The AI Confidence Track is there. Week 1 is ready for you. Spend ten minutes with it before our next email lands.

Acie"
Curious Learner Track,2,3,Research any medication in under 2 minutes,This is Skill 1. Use it at your next doctor's appointment.,Try the medication research prompt at https://chat.openai.com,"{{ subscriber.first_name | default: ""friend"" }},

Here is a situation I hear about constantly.

The doctor prescribes something new. You nod, take the little paper, and go home. Later you look at the name of the drug and think: what is this, exactly? What does it interact with? Is this the right choice for someone with my other conditions? You try to Google it and end up on six different websites with conflicting information written in language designed for medical professionals.

This is the exact problem AI solves.

Here is how to do it. Open https://chat.openai.com and type something like this:

""I was just prescribed [name of medication]. I'm 68 years old and I also take [list any other medications]. Can you explain what this drug does, what the common side effects are, what I should watch out for given my other medications, and what questions I should ask my doctor at my follow-up?""

Hit enter.

Read what comes back. You will get a clear, organized explanation in plain English. You can then ask follow-up questions: ""What does that side effect mean?"" or ""Is this common for someone with high blood pressure?""

Now here is an important note, and I want you to hear this clearly: AI is a research tool, not a doctor. It helps you arrive at your appointment informed and with good questions. It does not replace your doctor's judgment. What it does is level the playing field — so you are not walking in blind and nodding at things you do not fully understand.

I tried this myself with metformin last year. Within three minutes I had a list of four questions I had never thought to ask before. Two of them changed the conversation with my doctor.

Let's make it concrete. Try this today:

Pick any medication you currently take — or one a family member takes — and run it through that prompt. You don't need a new prescription to practice.

If you try it and something surprises you, reply to this email. I'd genuinely like to hear.

Acie

P.S. You can also use this exact approach for supplements, over-the-counter medications, and medical devices. The AI doesn't care if it's a prescription or a bottle from the health food store — it will give you the same thorough answer either way."
Curious Learner Track,3,6,The email you've been dreading to send,Skill 2. There's a message sitting in your head right now. Let's get it on paper.,Draft your hard email at https://chat.openai.com,"{{ subscriber.first_name | default: ""friend"" }},

Most of us have at least one email or letter we have been meaning to write and keep not writing. It sits there, taking up mental space. Maybe it's a complaint to an insurance company. Maybe it's a follow-up to a doctor's office that never called back. Maybe it's a message to a family member about something sensitive that feels impossible to get right.

AI doesn't fix the situation. But it can help you find the words — and sometimes finding the words is the whole battle.

Here is the walkthrough for Skill 2.

**The doctor email example:**

You've been trying to get your doctor's office to call you back about test results for two weeks. You are frustrated. You don't want to sound angry, but you need to be firm. You don't want to be ignored again.

Go to https://chat.openai.com and type something like this:

""Help me write a professional but firm email to my doctor's office. I've been waiting two weeks for test results and have not received a callback despite leaving three messages. I want to be polite but make it clear this needs to be addressed. I do not want to sound aggressive.""

The AI will draft you a letter. Read it. If it's too stiff, say ""Make it sound a little more like a real person wrote it."" If it's too soft, say ""Add a sentence that makes it clear I am following up for the last time before I escalate.""

You own the final product. You decide what goes out. AI just helps you get out of your own head.

**Other places this works:**

- Writing to your landlord or HOA about a repair that isn't being addressed
- Responding to a billing dispute with an insurance company
- A heartfelt message to a family member you haven't been in touch with
- A letter of complaint or appreciation to a business
- Writing your own obituary or family history (more people than you'd think use AI for this — it is genuinely powerful)

I want to say something directly: some people feel like using AI to help write something is somehow cheating or inauthentic. I don't agree. When you hire an editor, you are not being inauthentic. When you ask a friend to read your letter and suggest a better word, you are not being inauthentic. The thought is yours. The relationship is yours. AI is just a tool that helps you express it clearly.

Try it today. Pick one message you've been avoiding and give it ten minutes.

Acie"
Curious Learner Track,4,10,What your adult children need to know about you,This one is for them — and for you.,Share the Family Allies page — https://pamperedcompanioncare.org/mighty-elders/for-families,"{{ subscriber.first_name | default: ""friend"" }},

This email is a little different. I want to talk about your family.

Specifically, I want to talk about the adult children and family members who worry about you — and who sometimes worry in ways that feel more like hovering than helping. I have talked to hundreds of seniors about this. The pattern I hear most often sounds like: ""They mean well, but they treat me like I can't handle things.""

Here is the dynamic I see playing out right now in thousands of families:

Seniors are getting more targeted by scammers every year. Americans 60 and older lost $7.7 billion to fraud last year. ([FBI Internet Crime Complaint Center 2025 Annual Report](https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf)) Adult children read those numbers and get scared. The fear is real. But the way it often comes out is hovering, second-guessing, or wanting to take over decisions that are yours to make.

What changes that dynamic? Knowledge.

When you are the one who is informed — when you are the one who knows how scams work, how to use AI, how to protect yourself — the conversation changes. You are no longer someone to be protected from technology. You are someone who uses it.

I created a resource specifically for the family members of people in our community. It explains what Mighty Elders is, how AI literacy actually protects seniors, and how family members can be allies instead of gatekeepers.

If you have an adult child, a sibling, a nephew or niece, or anyone in your life who worries about you and technology, I'd like you to forward this email to them — or send them this link directly:

https://pamperedcompanioncare.org/mighty-elders/for-families

This is not about making them feel bad. It's about bringing them in. The goal is the same for all of us: you, empowered, connected, and protected. We just need everyone working toward that together.

You may also find it useful for yourself — to have language for the next conversation about why this matters.

Acie

P.S. If your family member clicks through and wants to get in touch directly, my phone number is (326) 467-3161 and my email is acie@pamperedcompanioncare.org. I talk to families. I welcome it."
Curious Learner Track,5,14,Ready for the next level? Here's the door.,You came in cautious. You are leaving capable. One more step.,Move to the Ready Defender track — https://pamperedcompanioncare.org/mighty-elders,"{{ subscriber.first_name | default: ""friend"" }},

Two weeks. Three skills. One question I keep coming back to as I write these emails:

How many people who know what you know right now are still sitting on the sidelines?

The answer, according to Pew Research, is most people your age. Only about 10 percent of Americans 65 and older have used ChatGPT. ([Pew Research Center, June 2025](https://www.pewresearch.org/short-reads/2025/06/25/34-of-us-adults-have-used-chatgpt-about-double-the-share-in-2023/)) That means you are already ahead of 90 percent of your peers just by having spent these two weeks paying attention.

That is not a small thing. I want you to actually sit with that for a second.

Now here is where we go next.

The **Ready Defender track** is the next level in the Mighty Elders path. It's for people who have gotten past cautious and are ready to be genuinely capable — and who want to start helping the people around them. It covers advanced AI use cases, how to detect AI-generated scams including deepfake audio and video, and how to bring this knowledge to the people in your life without sounding like you're lecturing them.

If that sounds like where you're headed, the door is here: https://pamperedcompanioncare.org/mighty-elders

And if there is someone in your life — a friend, a neighbor, someone from your faith community — who is right where you were two weeks ago, would you do something for me?

Send them the quiz: https://pamperedcompanioncare.org/mighty-elders#quiz

Tell them you took it. Tell them it was worth it. That is more powerful than anything I can say in an advertisement.

It has been a privilege to be in your inbox these past two weeks.

With respect,
Acie Grimes
Mighty Elders"
