Date,Time,Platform,Theme,Hook,PostType,Body,CTA,Hashtags,Visual,Notes
2026-07-06,08:30,Facebook,They Thought You Were Done,The AI revolution started without you. That was a mistake.,Image (founder photo),"My name is Acie Grimes. I'm based in Dayton, Ohio, and I spend my days teaching seniors and their families how to use artificial intelligence in plain English.",Follow this page and visit MightyElders.com to join free.,#MightyElders #SeniorsAndAI #AgingForward #LivingLibraries #TheyThoughtYouWereDone,,
2026-07-06,08:00,Instagram,They Thought You Were Done,The AI revolution started without you. That was a mistake.,Carousel (3 slides),Founder-led. Day one. [FOUNDER POST — Acie Grimes],Link in bio → MightyElders.com,#MightyElders #LivingLibraries #SeniorsAndAI #AgingForward #TheyThoughtYouWereDone #SeniorTech,,
2026-07-06,19:00,TikTok,They Thought You Were Done,,,I started Mighty Elders because the AI industry wrote off an entire generation. People 60+ are not behind — they were never properly invited. That changes today. Follow for daily AI lessons in plain English. #MightyElders #SeniorsAndAI #AIForSeniors #LivingLibraries #AgingForward,,#MightyElders #SeniorsAndAI #AIForSeniors #LivingLibraries #AgingForward,,
2026-07-06,09:00,LinkedIn,They Thought You Were Done,I'm launching something today that I've been building toward for years. And I want to explain why I think it matters beyond the senior community.,,,Follow along here. Visit MightyElders.com to learn more or join free.,#MightyElders #AIEducation #AgingInAmerica #SeniorTech #DigitalInclusion,,
2026-07-07,08:30,Facebook,They Thought You Were Done,Only 10% of Americans 65 and older have used ChatGPT. That number should make every tech company ashamed.,Image (stat graphic),[FAMILY ALLY POST — for adult children and family advocates],Share this with a family member. Then visit MightyElders.com/quiz together — it takes 3 minutes.,#MightyElders #ProtectOurParents #SeniorsAndAI #FamilyFirst #AIForSeniors #AgingForward,,
2026-07-07,08:00,Instagram,They Thought You Were Done,10% of seniors. 34% of all adults. That's not a gap — that's a decision someone made.,Carousel (4 slides),[FAMILY ALLY POST],Take the AI Confidence Quiz with your family: MightyElders.com/quiz,#MightyElders #SeniorsAndAI #LivingLibraries #ProtectOurParents #AIForSeniors #AgingForward #NeverTooLate,,
2026-07-07,19:00,TikTok,They Thought You Were Done,,,The AI industry created a generation-sized gap and called it inevitable. It isn't. Share this with someone in your family who deserves a seat at the table. #MightyElders #SeniorsAndAI #AIForSeniors #FamilyTech #ProtectOurParents,,#MightyElders #SeniorsAndAI #AIForSeniors #FamilyTech #ProtectOurParents,,
2026-07-07,09:00,LinkedIn,They Thought You Were Done,One number from Pew Research stopped me cold when I first read it. I want to share it with everyone building in the AI space.,,,"If you work in AI, EdTech, aging services, or community development, I'd welcome a conversation. Follow Mighty Elders here or connect directly.",#AIAdoption #DigitalInclusion #MightyElders #AgingInAmerica #TechForGood,,
2026-07-08,08:30,Facebook,They Thought You Were Done,Smartphones. Tablets. Video calls. Email. They figured all of it out. AI is next.,Image (empowerment),[FOUNDER POST — Acie Grimes],Join the community free at MightyElders.com. Your next chapter starts now.,#MightyElders #SeniorTech #AgingForward #NeverTooLate #LivingLibraries #TheyThoughtYouWereDone,,
2026-07-08,08:00,Instagram,They Thought You Were Done,90% smartphone ownership. They were never the problem.,Image (stat + empowerment),[FOUNDER POST — Acie Grimes],Follow for daily AI education. Take the quiz: MightyElders.com/quiz,#MightyElders #SeniorTech #AgingForward #NeverTooLate #AIForSeniors #OlderAndBolder #LivingLibraries,,
2026-07-08,19:00,TikTok,They Thought You Were Done,,,The data has always said seniors can learn tech. The industry just wasn't paying attention. Follow for daily plain-English AI lessons. No gatekeeping. #MightyElders #SeniorTech #AIForSeniors #AgingForward #NeverTooLate,,#MightyElders #SeniorTech #AIForSeniors #AgingForward #NeverTooLate,,
2026-07-08,09:00,LinkedIn,They Thought You Were Done,AARP just published a number that the AI industry should be paying close attention to: 90% smartphone ownership among adults 50 and older.,,,"If you're building in the aging and technology space, let's connect. Mighty Elders is open to partnerships with organizations that share this mission.",#AgingTech #AIAdoption #MightyElders #DigitalInclusion #AARP,,
2026-07-09,08:30,Facebook,They Thought You Were Done,What does it actually feel like to use AI for the first time at 72?,Video (testimonial / story format),"This is the question I get more than any other: ""Acie, is it really for someone like me?""","Start with the free AI Confidence Quiz — 8 questions, 3 minutes: MightyElders.com/quiz",#MightyElders #AIForSeniors #LivingLibraries #SeniorTech #AgingForward #NeverTooLate,,
2026-07-09,08:00,Instagram,They Thought You Were Done,She was 72. She'd never used AI. Six weeks later — she was writing her own insurance letters.,"Carousel (story-driven, 4 slides)",Real change. Plain English. No tech degree required.,MightyElders.com/quiz — link in bio,#MightyElders #SeniorTech #AIForSeniors #NeverTooLate #LivingLibraries #AgingForward #OlderAndBolder,,
